subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
105,2,13,0.0824,0.395,-0.1051,0.1051,0.2304,-0.1038,0.1038,0.2983,-0.1203,0.1203,0.5485,-0.0811,0.0811,0.405,-0.0963,0.0963,0.6125,-0.1072,0.1072,0.1761,-0.1585,0.1585,0.2095,-0.0895,0.0895,0.3477,-0.0959,0.0959,0.3841,-0.1001,0.1001
105,2,14,0.0911,0.3615,-0.1076,0.1076,0.2568,-0.09,0.09,0.2501,-0.1107,0.1107,0.6943,-0.1207,0.1207,0.992,-0.1033,0.1033,0.6009,-0.0854,0.0854,0.1441,-0.1819,0.1819,0.2355,-0.1108,0.1108,0.329,-0.1094,0.1094,1.6556,-0.1202,0.1202
105,2,15,0.079,0.3921,-0.111,0.111,0.2496,-0.0974,0.0974,0.2225,-0.0971,0.0971,0.4438,-0.1127,0.1127,0.4321,-0.1072,0.1072,0.6238,-0.0959,0.0959,0.1402,-0.1595,0.1595,0.1998,-0.0763,0.0763,0.3054,-0.0882,0.0882,0.3883,-0.1399,0.1399
105,2,16,0.1083,0.3735,-0.09,0.09,0.2146,-0.0909,0.0909,0.2226,-0.0867,0.0867,0.4678,-0.0945,0.0945,0.3497,-0.1114,0.1114,0.5624,-0.106,0.106,0.1877,-0.1664,0.1664,0.2063,-0.1021,0.1021,0.3281,-0.0971,0.0971,0.9056,-0.1002,0.1002
105,2,17,0.078,0.3278,-0.1039,0.1039,0.2806,-0.0874,0.0874,0.2225,-0.1269,0.1269,0.3971,-0.1016,0.1016,0.3963,-0.083,0.083,0.5989,-0.1039,0.1039,0.148,-0.1796,0.1796,0.2039,-0.0893,0.0893,0.2957,-0.0869,0.0869,0.5628,-0.1255,0.1255
105,2,18,0.0919,0.3762,-0.1032,0.1032,0.2779,-0.097,0.097,0.2768,-0.1086,0.1086,0.6457,-0.0956,0.0956,0.5043,-0.0899,0.0899,0.5767,-0.0951,0.0951,0.1576,-0.1758,0.1758,0.2249,-0.0875,0.0875,0.3512,-0.0959,0.0959,0.5357,-0.1242,0.1242
105,2,19,0.0955,0.4038,-0.1182,0.1182,0.2227,-0.0967,0.0967,0.2498,-0.1039,0.1039,1.0118,-0.1187,0.1187,1.3328,-0.0982,0.0982,0.4943,-0.0954,0.0954,0.0797,-0.147,0.147,0.1901,-0.077,0.077,0.2058,-0.0968,0.0968,0.661,-0.1253,0.1253
105,2,20,0.0829,0.2435,-0.1136,0.1136,0.2654,-0.0914,0.0914,0.1534,-0.0877,0.0877,1.1447,-0.1334,0.1334,1.2332,-0.1015,0.1015,0.5837,-0.08,0.08,0.0557,-0.1742,0.1742,0.1992,-0.0772,0.0772,0.278,-0.0951,0.0951,0.8556,-0.1073,0.1073
105,2,21,0.0703,0.2751,-0.1093,0.1093,0.2386,-0.0921,0.0921,0.2327,-0.1222,0.1222,0.5141,-0.0956,0.0956,0.7152,-0.0943,0.0943,0.6231,-0.086,0.086,0.0973,-0.1877,0.1877,0.2188,-0.0804,0.0804,0.3359,-0.0816,0.0816,0.6728,-0.0962,0.0962
105,2,22,0.0879,0.2753,-0.1186,0.1186,0.2499,-0.0976,0.0976,0.2724,-0.1192,0.1192,0.5099,-0.088,0.088,0.4827,-0.0973,0.0973,0.5626,-0.0814,0.0814,0.1543,-0.1683,0.1683,0.1757,-0.0724,0.0724,0.268,-0.0855,0.0855,0.3716,-0.11,0.11
105,2,23,0.0949,0.3568,-0.153,0.153,0.7725,-0.105,0.105,0.4944,-0.1446,0.1446,0.5417,-0.1063,0.1063,-17.5339,-18.366,18.366,0.7652,-0.0872,0.0872,0.5431,-0.1508,0.1508,0.3746,-0.1076,0.1076,0.5076,-0.1112,0.1112,0.8768,-0.0978,0.0978
105,2,24,0.1355,0.4092,-0.108,0.108,0.186,-0.0946,0.0946,0.4142,-0.1084,0.1084,0.8027,-0.095,0.095,0.8101,-0.1042,0.1042,0.6478,-0.1119,0.1119,0.3033,-0.1518,0.1518,0.3068,-0.0751,0.0751,0.3072,-0.0955,0.0955,0.9761,-0.0961,0.0961
105,2,25,0.08,0.343,-0.1199,0.1199,0.2096,-0.088,0.088,0.2686,-0.1022,0.1022,0.4144,-0.0944,0.0944,0.4296,-0.1041,0.1041,0.6751,-0.0727,0.0727,0.2529,-0.1427,0.1427,0.2861,-0.0843,0.0843,0.3286,-0.1051,0.1051,0.8823,-0.0653,0.0653
105,2,26,0.0792,0.4684,-0.1277,0.1277,0.5641,-0.0921,0.0921,0.4852,-0.1743,0.1743,0.5582,-0.0882,0.0882,0.4044,-0.0897,0.0897,0.5773,-0.0793,0.0793,0.1516,-0.1654,0.1654,0.2079,-0.079,0.079,0.2992,-0.0872,0.0872,0.8135,-0.1444,0.1444
105,2,27,0.0926,0.7766,-0.1193,0.1193,0.5276,-0.1229,0.1229,0.2799,-0.1281,0.1281,0.705,-0.0954,0.0954,-10.9663,-11.6397,11.6397,1.2397,-0.1122,0.1122,0.2644,-0.1306,0.1306,1.0081,-0.071,0.071,0.3705,-0.0843,0.0843,0.454,-0.0834,0.0834
105,2,28,0.0963,0.3351,-0.1251,0.1251,0.2501,-0.1056,0.1056,0.347,-0.1043,0.1043,0.5196,-0.0955,0.0955,0.6507,-0.095,0.095,1.1224,-0.094,0.094,0.2183,-0.16,0.16,0.3655,-0.0615,0.0615,0.383,-0.0721,0.0721,0.4832,-0.0883,0.0883
105,2,29,0.0749,0.4361,-0.1125,0.1125,0.2642,-0.0905,0.0905,0.2288,-0.1155,0.1155,0.9152,-0.0855,0.0855,0.6308,-0.1333,0.1333,1.0634,-0.0957,0.0957,0.2232,-0.1518,0.1518,0.3088,-0.0773,0.0773,0.3725,-0.0932,0.0932,0.8185,-0.0805,0.0805
105,2,30,0.1343,0.295,-0.1316,0.1316,0.2736,-0.0801,0.0801,0.3466,-0.1149,0.1149,0.44,-0.1116,0.1116,0.8659,-0.0901,0.0901,0.7334,-0.0896,0.0896,0.1999,-0.1435,0.1435,0.1853,-0.0783,0.0783,0.3252,-0.1468,0.1468,0.9116,-0.098,0.098
105,2,31,0.0808,0.5122,-0.118,0.118,0.3608,-0.091,0.091,0.2312,-0.1435,0.1435,0.3835,-0.0995,0.0995,0.797,-0.0821,0.0821,0.7049,-0.0897,0.0897,0.1973,-0.1748,0.1748,0.1982,-0.0714,0.0714,0.3113,-0.0871,0.0871,0.4284,-0.0887,0.0887
105,2,32,0.0796,0.3093,-0.1042,0.1042,0.2675,-0.0953,0.0953,0.3579,-0.151,0.151,0.4035,-0.1053,0.1053,-4.1887,-5.085,5.085,0.7263,-0.0961,0.0961,0.1978,-0.1891,0.1891,0.2502,-0.1106,0.1106,1.0759,-0.0946,0.0946,0.6362,-0.0852,0.0852
105,2,33,0.1048,0.427,-0.1192,0.1192,0.1834,-0.1079,0.1079,0.3072,-0.1162,0.1162,0.3528,-0.095,0.095,-3.9778,-4.7982,4.7982,0.8905,-0.1107,0.1107,0.2397,-0.1499,0.1499,0.2479,-0.0854,0.0854,0.357,-0.0872,0.0872,0.5375,-0.0954,0.0954
105,2,34,0.1184,0.5288,-0.1181,0.1181,0.2377,-0.0891,0.0891,0.2633,-0.1247,0.1247,0.3642,-0.0868,0.0868,0.5013,-0.1015,0.1015,0.6901,-0.0938,0.0938,0.3715,-0.1514,0.1514,0.2764,-0.074,0.074,0.2959,-0.0874,0.0874,0.8608,-0.0778,0.0778
105,2,35,0.0954,0.3306,-0.1041,0.1041,0.2774,-0.1037,0.1037,0.253,-0.118,0.118,0.3426,-0.1016,0.1016,0.4285,-0.0789,0.0789,0.6234,-0.0978,0.0978,0.2049,-0.1818,0.1818,0.2419,-0.1032,0.1032,0.3677,-0.0864,0.0864,1.0701,-0.1008,0.1008
105,2,36,0.0714,0.3504,-0.118,0.118,0.229,-0.0974,0.0974,0.2359,-0.1254,0.1254,0.422,-0.0874,0.0874,0.4229,-0.0891,0.0891,0.5239,-0.0962,0.0962,0.1614,-0.1513,0.1513,0.2124,-0.0877,0.0877,0.2975,-0.1035,0.1035,0.5353,-0.1363,0.1363
105,2,37,0.1009,0.3299,-0.1047,0.1047,0.2366,-0.0905,0.0905,0.2471,-0.075,0.075,0.4187,-0.1043,0.1043,0.4069,-0.0961,0.0961,0.5896,-0.0958,0.0958,0.3048,-0.1503,0.1503,0.2058,-0.0895,0.0895,0.3336,-0.1114,0.1114,0.4637,-0.1442,0.1442
105,2,38,0.1032,0.3848,-0.1111,0.1111,0.2571,-0.0842,0.0842,0.243,-0.1391,0.1391,0.3576,-0.0812,0.0812,0.4389,-0.0949,0.0949,0.6564,-0.0891,0.0891,0.1584,-0.1833,0.1833,0.2318,-0.0799,0.0799,0.2907,-0.0793,0.0793,0.8126,-0.0968,0.0968
105,2,39,0.1014,0.8377,-0.1182,0.1182,0.265,-0.0823,0.0823,0.4177,-0.1419,0.1419,0.6095,-0.1507,0.1507,0.7381,-0.1224,0.1224,0.6004,-0.0961,0.0961,0.196,-0.1833,0.1833,0.207,-0.0761,0.0761,0.3033,-0.0872,0.0872,1.6657,-0.1271,0.1271
105,2,40,0.097,0.5488,-0.1105,0.1105,0.2984,-0.0712,0.0712,0.3354,-0.1431,0.1431,0.6711,-0.1171,0.1171,0.9613,-0.0967,0.0967,0.7615,-0.0918,0.0918,0.2625,-0.1594,0.1594,0.2761,-0.0766,0.0766,0.2871,-0.0886,0.0886,0.815,-0.0801,0.0801
105,2,41,0.0895,0.3538,-0.0969,0.0969,0.2377,-0.1029,0.1029,0.2551,-0.1264,0.1264,0.3122,-0.1119,0.1119,0.3927,-0.0967,0.0967,0.5963,-0.0955,0.0955,0.1214,-0.1828,0.1828,0.2383,-0.0736,0.0736,0.2721,-0.0884,0.0884,0.4729,-0.0899,0.0899
105,2,42,0.0937,0.3483,-0.1305,0.1305,0.2351,-0.0974,0.0974,0.3403,-0.1311,0.1311,0.3579,-0.1049,0.1049,0.4323,-0.0921,0.0921,0.5857,-0.0949,0.0949,0.1378,-0.1875,0.1875,0.247,-0.0878,0.0878,0.2987,-0.0954,0.0954,0.3501,-0.1374,0.1374
105,2,43,0.0803,0.3047,-0.1447,0.1447,0.2161,-0.0897,0.0897,0.3455,-0.1112,0.1112,0.3023,-0.1064,0.1064,0.4924,-0.1016,0.1016,0.6126,-0.0924,0.0924,0.2325,-0.1743,0.1743,0.5122,-0.0855,0.0855,0.4435,-0.0734,0.0734,0.516,-0.0848,0.0848
105,2,44,0.1122,0.3219,-0.1452,0.1452,0.2614,-0.0974,0.0974,0.2582,-0.1166,0.1166,0.4074,-0.1046,0.1046,0.5007,-0.1086,0.1086,0.6993,-0.0928,0.0928,0.2167,-0.1518,0.1518,0.2782,-0.0947,0.0947,0.3123,-0.1043,0.1043,0.4115,-0.1311,0.1311
105,2,45,0.1132,1.1187,-0.1125,0.1125,0.5481,-0.0789,0.0789,0.24,-0.1267,0.1267,0.9396,-0.0882,0.0882,0.4077,-0.0942,0.0942,0.5224,-0.0852,0.0852,0.2528,-0.1597,0.1597,0.2373,-0.0746,0.0746,0.2991,-0.0877,0.0877,0.4684,-0.0833,0.0833
105,2,46,0.1258,1.0115,-0.1066,0.1066,0.2962,-0.0955,0.0955,0.3512,-0.1203,0.1203,0.5941,-0.1043,0.1043,0.5607,-0.0958,0.0958,0.7057,-0.1058,0.1058,0.2796,-0.1604,0.1604,0.216,-0.1039,0.1039,0.3573,-0.0955,0.0955,-7.6778,-8.1668,8.1668
105,2,47,0.0908,0.3748,-0.1058,0.1058,0.2433,-0.1117,0.1117,0.2501,-0.0965,0.0965,0.3437,-0.1107,0.1107,0.5434,-0.1187,0.1187,0.7281,-0.104,0.104,0.2109,-0.1396,0.1396,0.2211,-0.0911,0.0911,0.3737,-0.096,0.096,0.4378,-0.1077,0.1077
105,2,48,0.1029,0.2484,-0.1113,0.1113,0.2591,-0.0956,0.0956,0.2402,-0.0975,0.0975,0.4814,-0.1125,0.1125,0.5825,-0.1137,0.1137,0.6341,-0.1034,0.1034,0.2137,-0.1621,0.1621,0.222,-0.1033,0.1033,0.4022,-0.1025,0.1025,0.4426,-0.1112,0.1112
105,2,49,0.1015,0.5165,-0.1091,0.1091,0.2601,-0.105,0.105,0.2922,-0.1328,0.1328,0.4635,-0.1037,0.1037,0.5581,-0.1072,0.1072,0.6731,-0.1051,0.1051,0.1795,-0.1768,0.1768,0.2365,-0.0951,0.0951,0.3755,-0.1117,0.1117,0.4686,-0.1211,0.1211
105,2,50,0.0902,0.4652,-0.1236,0.1236,0.2081,-0.0962,0.0962,0.2799,-0.0975,0.0975,0.329,-0.0947,0.0947,0.5106,-0.0954,0.0954,0.711,-0.1103,0.1103,0.2073,-0.16,0.16,0.2616,-0.0949,0.0949,0.5371,-0.0957,0.0957,0.4813,-0.1239,0.1239
105,3,1,0.1121,0.4492,-0.1095,0.1095,0.2897,-0.1001,0.1001,0.2935,-0.1165,0.1165,0.4009,-0.0957,0.0957,0.7433,-0.0927,0.0927,0.7251,-0.1011,0.1011,0.2611,-0.1584,0.1584,0.3328,-0.0846,0.0846,0.2973,-0.0912,0.0912,-4.9487,-5.472,5.472
105,3,2,0.0899,0.4337,-0.134,0.134,0.2773,-0.0988,0.0988,0.2918,-0.1088,0.1088,0.4066,-0.0803,0.0803,0.7001,-0.0963,0.0963,0.7297,-0.0997,0.0997,0.234,-0.1566,0.1566,0.3261,-0.0898,0.0898,0.326,-0.1043,0.1043,0.9771,-0.107,0.107
105,3,3,0.0981,0.6388,-0.0897,0.0897,0.379,-0.1097,0.1097,0.2894,-0.1203,0.1203,0.6216,-0.0987,0.0987,0.8988,-0.1041,0.1041,0.8845,-0.1069,0.1069,0.2917,-0.1415,0.1415,0.3137,-0.0877,0.0877,0.3681,-0.093,0.093,0.4496,-0.1024,0.1024
105,3,4,0.0931,0.4663,-0.0902,0.0902,0.3268,-0.1016,0.1016,0.291,-0.1293,0.1293,0.4721,-0.0992,0.0992,0.548,-0.1023,0.1023,0.6885,-0.097,0.097,0.2019,-0.1705,0.1705,0.365,-0.1053,0.1053,0.3617,-0.118,0.118,0.4565,-0.1149,0.1149
105,3,5,0.1089,0.4617,-0.0928,0.0928,0.3183,-0.0943,0.0943,0.2197,-0.1281,0.1281,0.5481,-0.0998,0.0998,0.5752,-0.109,0.109,0.6729,-0.1033,0.1033,0.2284,-0.152,0.152,0.3199,-0.0967,0.0967,0.36,-0.1001,0.1001,0.3966,-0.1132,0.1132
105,3,6,0.1077,0.4703,-0.0911,0.0911,0.4466,-0.1237,0.1237,0.245,-0.1072,0.1072,0.5253,-0.1007,0.1007,0.7711,-0.109,0.109,0.6542,-0.1219,0.1219,0.2421,-0.1568,0.1568,0.2887,-0.0834,0.0834,0.3423,-0.1202,0.1202,0.4184,-0.1106,0.1106
105,3,7,0.1093,0.5244,-0.1479,0.1479,0.2978,-0.1167,0.1167,0.364,-0.1188,0.1188,0.4192,-0.0972,0.0972,-13.8301,-14.5732,14.5732,0.7248,-0.1176,0.1176,0.3396,-0.1768,0.1768,0.3012,-0.091,0.091,0.3826,-0.1108,0.1108,0.3834,-0.1147,0.1147
105,3,8,0.1149,0.4249,-0.1504,0.1504,0.2827,-0.1053,0.1053,0.3503,-0.1432,0.1432,0.391,-0.0932,0.0932,-3.5498,-4.4062,4.4062,0.8251,-0.0941,0.0941,0.2335,-0.1733,0.1733,0.3366,-0.0948,0.0948,0.2982,-0.0994,0.0994,0.3525,-0.1197,0.1197
105,3,9,0.1102,0.4575,-0.0833,0.0833,0.347,-0.0981,0.0981,0.262,-0.1099,0.1099,0.3837,-0.0888,0.0888,0.6022,-0.0894,0.0894,0.716,-0.0927,0.0927,0.2456,-0.1665,0.1665,0.2866,-0.0966,0.0966,0.3104,-0.103,0.103,0.363,-0.0978,0.0978
105,3,10,0.1002,0.4994,-0.077,0.077,0.3246,-0.1044,0.1044,0.229,-0.1213,0.1213,0.3333,-0.0934,0.0934,-4.5534,-5.3367,5.3367,0.6642,-0.1004,0.1004,0.2625,-0.1517,0.1517,0.2725,-0.0955,0.0955,0.4164,-0.0996,0.0996,0.9092,-0.1073,0.1073
105,3,11,0.088,0.4915,-0.1541,0.1541,0.1708,-0.0955,0.0955,0.2677,-0.1389,0.1389,0.5138,-0.087,0.087,-4.5803,-5.3713,5.3713,1.3634,-0.1014,0.1014,0.3216,-0.1361,0.1361,0.2304,-0.0844,0.0844,0.3094,-0.1024,0.1024,0.3524,-0.1208,0.1208
